"Points:0","Points:1","Points:2"
0.10750248,0.10391635,0.56392717
0.10750156,0.11174317,0.56456083
0.10750063,0.1195626,0.56518203
0.1074997,0.12737478,0.56579918
0.10749868,0.13522542,0.5664351
0.10749553,0.14329147,0.56737185
0.10749074,0.15144819,0.56873691
0.10748678,0.15963653,0.57021272
0.10748278,0.16784091,0.57168776
0.10747834,0.17619266,0.57322985
0.10747313,0.18467402,0.57482421
0.10746656,0.19321744,0.57652414
0.10745937,0.20181572,0.57835567
0.10745229,0.21055086,0.580221
0.10744524,0.21941692,0.58207202
0.10743874,0.2283929,0.58384633
0.10743267,0.23745935,0.585558
0.10742481,0.2467064,0.58715355
0.10741655,0.25615856,0.58856618
0.10740933,0.26577872,0.58980119
0.10740428,0.27565399,0.59084326
0.10740174,0.28597474,0.5916782
0.10739928,0.29683405,0.59226614
0.10739674,0.30819151,0.59264207
0.12250742,0.10391574,0.56392676
0.12250465,0.11174137,0.56455964
0.12250187,0.11955962,0.5651806
0.12249908,0.12737063,0.56579745
0.12249602,0.13522011,0.56643313
0.12248658,0.14328508,0.56736952
0.12247223,0.15144067,0.56873459
0.12246036,0.15962875,0.5702101
0.12244832,0.16783291,0.57168484
0.12243501,0.17618449,0.57322651
0.12241939,0.18466587,0.5748204
0.12239967,0.19320899,0.57652014
0.12237812,0.20180798,0.57835168
0.12235688,0.21054463,0.58021671
0.12233573,0.21941234,0.58206749
0.12231623,0.22839005,0.58384162
0.122298,0.23745802,0.58555311
0.12227442,0.24670586,0.58714861
0.12224963,0.25615904,0.58856159
0.12222798,0.26578027,0.58979696
0.12221286,0.2756567,0.59083933
0.12220521,0.28597897,0.59167421
0.12219784,0.29683957,0.59226185
0.12219023,0.30819717,0.59263778
0.13751233,0.10391513,0.56392598
0.13750774,0.11173957,0.56455845
0.1375031,0.11955663,0.56517917
0.13749844,0.12736647,0.56579578
0.13749334,0.13521479,0.56643111
0.13747761,0.1432787,0.5673672
0.13745371,0.15143314,0.5687322
0.13743392,0.15962099,0.57020754
0.13741386,0.16782491,0.57168192
0.13739169,0.17617634,0.57322317
0.13736565,0.18465771,0.57481664
0.1373328,0.19320056,0.57651621
0.13729686,0.20180023,0.57834768
0.13726147,0.2105384,0.58021241
0.13722622,0.21940777,0.58206296
0.13719372,0.22838721,0.58383691
0.13716334,0.23745671,0.58554816
0.13712403,0.24670532,0.58714372
0.13708273,0.25615954,0.58855695
0.13704664,0.26578182,0.58979279
0.13702142,0.27565941,0.59083545
0.13700868,0.28598318,0.59167022
0.1369964,0.29684508,0.5922575
0.13698372,0.3082028,0.59263349
0.15256594,0.10391463,0.563923
0.15255773,0.11173807,0.56455511
0.15254951,0.11955415,0.56517553
0.15254128,0.12736301,0.5657919
