"Points:0","Points:1","Points:2"
0.10628127,0.10583425,0.60523516
0.10628119,0.11750273,0.60524738
0.10628112,0.12917122,0.60525966
0.10628105,0.14083971,0.60527188
0.10628093,0.15256083,0.60529
0.10628073,0.16437452,0.60532117
0.10628052,0.1761882,0.60535234
0.10628031,0.18800189,0.60538352
0.1062801,0.1998522,0.60541606
0.10627981,0.21181782,0.60545576
0.10627952,0.22378345,0.60549539
0.10627923,0.23574908,0.60553503
0.10627894,0.24774255,0.60557473
0.10627866,0.25985178,0.60561496
0.10627837,0.27196434,0.60565513
0.10627808,0.28407693,0.60569531
0.1062778,0.29621333,0.60573506
0.10627759,0.30847314,0.60576844
0.10627739,0.32074243,0.60580099
0.10627719,0.33301175,0.60583353
0.106277,0.34530309,0.60586512
0.10627691,0.35771731,0.60587966
0.10627685,0.37014425,0.60589111
0.10627679,0.38257119,0.60590255
0.11884379,0.10583424,0.60523522
0.11884358,0.11750271,0.6052475
0.11884336,0.12917119,0.60525972
0.11884314,0.14083967,0.60527194
0.1188428,0.15256077,0.60529006
0.11884218,0.16437446,0.60532123
0.11884156,0.17618814,0.6053524
0.11884094,0.18800181,0.60538357
0.11884028,0.19985212,0.60541606
0.11883942,0.21181774,0.60545576
0.11883856,0.22378337,0.60549539
0.1188377,0.23574901,0.60553503
0.11883684,0.24774247,0.60557473
0.11883597,0.25985172,0.60561496
0.11883511,0.27196431,0.60565513
0.11883426,0.2840769,0.60569531
0.11883341,0.2962133,0.605735
0.11883277,0.30847314,0.60576838
0.11883217,0.32074246,0.60580093
0.11883157,0.33301178,0.60583347
0.11883099,0.34530315,0.60586506
0.11883074,0.35771742,0.6058796
0.11883055,0.37014437,0.60589105
0.11883037,0.38257134,0.60590249
0.13140632,0.10583423,0.60523528
0.13140596,0.1175027,0.60524756
0.13140559,0.12917116,0.60525978
0.13140523,0.14083964,0.605272
0.13140465,0.15256073,0.60529011
0.13140363,0.1643744,0.60532129
0.1314026,0.17618807,0.60535246
0.13140157,0.18800175,0.60538357
0.13140047,0.19985205,0.60541612
0.13139904,0.21181768,0.60545576
0.13139759,0.22378331,0.60549539
0.13139616,0.23574895,0.60553503
0.13139471,0.24774241,0.60557473
0.13139328,0.25985166,0.6056149
0.13139185,0.27196428,0.60565507
0.13139042,0.28407687,0.60569525
0.13138902,0.2962133,0.605735
0.13138796,0.30847317,0.60576832
0.13138695,0.32074249,0.60580087
0.13138595,0.33301184,0.60583341
0.13138498,0.34530324,0.605865
0.13138457,0.35771751,0.60587955
0.13138425,0.37014449,0.60589099
0.13138394,0.38257146,0.60590243
0.14396887,0.10583423,0.60523534
0.14396834,0.11750268,0.60524762
0.14396784,0.12917113,0.60525984
0.14396733,0.14083959,0.60527205
0.14396653,0.15256068,0.60529017
0.14396508,0.16437435,0.60532135
0.14396363,0.17618801,0.60535246
0.14396219,0.18800168,0.60538363
0.14396065,0.19985197,0.60541612
0.14395864,0.21181761,0.60545582
0.14395663,0.22378324,0.60549545
0.14395462,0.23574887,0.60553503
0.14395261,0.24774234,0.60557473
0.1439506,0.2598516,0.6056149
0.1439486,0.27196422,0.60565507
0.1439466,0.28407684,0.60569525
0.14394462,0.2962133,0.60573494
0.14394315,0.30847317,0.60576832
0.14394175,0.32074255,0.60580081
0.14394033,0.3330119,0.60583335
0.14393897,0.34530333,0.60586494
0.14393839,0.3577176,0.60587943
0.14393796,0.37014461,0.60589087
0.14393751,0.38257161,0.60590237
0.15653205,0.10583422,0.60523546
0.15653136,0.11750265,0.60524774
0.15653069,0.12917109,0.60525995
0.15653001,0.14083952,0.60527217
0.15652895,0.15256059,0.60529029
0.15652704,0.16437425,0.60532141
0.15652512,0.17618789,0.60535258
0.15652321,0.18800154,0.60538369
0.15652119,0.19985184,0.60541618
0.15651852,0.21181746,0.60545582
0.15651585,0.22378309,0.60549545
0.15651318,0.23574874,0.60553503
0.15651052,0.24774221,0.60557473
0.15650785,0.25985152,0.6056149
0.1565052,0.27196416,0.60565501
0.15650254,0.28407681,0.60569513
0.15649994,0.29621327,0.60573483
0.15649799,0.3084732,0.6057682
0.15649612,0.32074261,0.60580069
0.15649424,0.33301201,0.60583323
0.15649244,0.34530351,0.60586476
0.15649168,0.35771784,0.60587931
0.1564911,0.37014487,0.60589075
0.15649052,0.38257191,0.60590219
0.16909586,0.1058342,0.6052357
0.16909499,0.11750261,0.60524791
0.16909413,0.129171,0.60526013
0.16909327,0.14083941,0.60527235
0.16909191,0.15256044,0.60529041
0.16908948,0.16437408,0.60532159
0.16908704,0.17618771,0.6053527
0.16908461,0.18800135,0.60538381
0.16908202,0.19985162,0.60541624
0.16907863,0.21181725,0.60545588
0.16907524,0.2237829,0.60549545
0.16907184,0.23574853,0.60553503
0.16906844,0.24774201,0.60557467
0.16906506,0.25985137,0.60561484
0.16906168,0.27196404,0.60565495
0.16905829,0.28407672,0.60569507
0.16905497,0.29621324,0.60573471
0.16905247,0.30847323,0.60576802
0.1690501,0.32074273,0.60580051
0.16904771,0.33301222,0.60583299
0.16904542,0.34530374,0.60586458
0.16904445,0.35771817,0.60587907
0.1690437,0.37014526,0.60589051
0.16904296,0.38257235,0.6059019
0.18165967,0.10583419,0.60523587
0.18165863,0.11750256,0.60524809
0.18165757,0.12917092,0.60526031
0.18165652,0.14083929,0.60527253
0.18165489,0.15256031,0.60529059
0.18165192,0.16437392,0.60532171
0.18164897,0.17618755,0.60535282
0.181646,0.18800116,0.60538387
0.18164286,0.19985141,0.60541636
0.18163875,0.21181704,0.60545594
0.18163462,0.22378269,0.60549551
0.18163049,0.23574834,0.60553503
0.18162636,0.24774182,0.60557467
0.18162225,0.25985119,0.60561478
0.18161814,0.27196392,0.60565484
0.18161404,0.28407666,0.60569495
0.18160999,0.29621324,0.60573459
0.18160696,0.30847329,0.60576785
0.18160407,0.32074285,0.60580033
0.1816012,0.3330124,0.60583282
0.1815984,0.34530401,0.60586435
0.18159722,0.3577185,0.60587883
0.18159631,0.37014565,0.60589021
0.18159541,0.38257283,0.60590166
0.19422348,0.10583417,0.60523605
0.19422224,0.11750251,0.60524827
0.194221,0.12917085,0.60526049
0.19421978,0.14083919,0.60527265
0.19421785,0.15256017,0.60529077
0.19421437,0.16437377,0.60532182
0.19421089,0.17618737,0.60535294
0.1942074,0.18800096,0.60538399
0.1942037,0.1998512,0.60541642
0.19419885,0.21181683,0.60545599
0.194194,0.22378248,0.60549551
0.19418915,0.23574813,0.60553503
0.19418429,0.24774162,0.60557461
0.19417945,0.25985104,0.60561472
0.19417462,0.2719638,0.60565478
0.19416977,0.2840766,0.60569483
0.19416502,0.29621321,0.60573447
0.19416146,0.30847335,0.60576773
0.19415806,0.32074296,0.60580015
0.19415466,0.33301261,0.60583264
0.19415137,0.34530428,0.60586411
0.19414997,0.35771883,0.60587859
0.19414891,0.37014604,0.60588998
0.19414786,0.38257328,0.60590142
0.20678879,0.10583415,0.60523629
0.20678732,0.11750245,0.60524851
0.20678586,0.12917075,0.60526067
0.20678438,0.14083906,0.60527289
0.2067821,0.15256,0.60529095
0.20677796,0.16437358,0.605322
0.20677383,0.17618714,0.60535306
0.20676969,0.18800071,0.60538411
0.20676529,0.19985093,0.60541654
0.20675954,0.21181658,0.60545605
0.20675378,0.22378223,0.60549551
0.20674801,0.23574789,0.60553503
0.20674224,0.24774139,0.60557455
0.20673649,0.25985086,0.6056146
0.20673075,0.27196369,0.60565466
0.20672502,0.28407654,0.60569465
0.20671937,0.29621321,0.60573423
0.20671514,0.30847344,0.60576749
0.2067111,0.32074317,0.60579991
0.20670705,0.33301291,0.60583234
0.20670314,0.3453047,0.60586375
0.20670149,0.35771933,0.60587823
0.20670022,0.37014663,0.60588962
0.20669897,0.38257396,0.60590106
0.21935549,0.10583413,0.60523659
0.21935375,0.11750238,0.60524875
0.21935201,0.12917064,0.60526097
0.21935026,0.14083889,0.60527313
0.21934754,0.1525598,0.60529119
0.21934263,0.16437334,0.60532218
0.21933772,0.17618689,0.60535324
0.21933281,0.18800043,0.60538423
0.2193276,0.19985063,0.6054166
0.21932076,0.21181628,0.60545605
0.21931392,0.22378194,0.60549551
0.21930708,0.23574759,0.60553497
0.21930023,0.2477411,0.60557449
0.2192934,0.25985065,0.60561448
0.21928659,0.27196357,0.60565448
0.21927978,0.28407648,0.60569441
0.21927308,0.29621321,0.60573393
0.21926804,0.30847356,0.60576713
0.21926324,0.32074344,0.60579956
0.21925843,0.3330133,0.60583192
0.21925378,0.3453052,0.60586333
0.21925181,0.35771999,0.60587776
0.21925032,0.37014744,0.6058892
0.21924882,0.38257486,0.60590059
0.23192218,0.1058341,0.60523683
0.23192017,0.11750231,0.60524905
0.23191816,0.12917052,0.60526121
0.23191613,0.14083873,0.60527337
0.23191299,0.15255959,0.60529143
0.23190729,0.16437311,0.60532242
0.23190162,0.17618662,0.60535342
0.23189592,0.18800014,0.60538435
0.23188989,0.19985032,0.60541672
0.23188198,0.21181597,0.60545611
0.23187406,0.22378165,0.60549551
0.23186615,0.23574731,0.60553491
0.23185822,0.24774083,0.60557437
0.23185033,0.25985044,0.6056143
0.23184243,0.27196342,0.60565424
0.23183455,0.28407642,0.60569417
0.23182678,0.29621324,0.60573369
0.23182096,0.30847371,0.60576683
0.23181538,0.32074371,0.6057992
0.23180982,0.33301371,0.6058315
0.23180443,0.34530574,0.60586292
0.23180215,0.35772064,0.60587734
0.23180041,0.37014821,0.60588872
0.23179868,0.38257578,0.60590011
0.24448888,0.10583408,0.60523713
0.24448659,0.11750224,0.60524929
0.24448429,0.1291704,0.60526145
0.244482,0.14083856,0.60527366
0.24447842,0.15255938,0.60529166
0.24447195,0.16437288,0.6053226
0.2444655,0.17618637,0.60535353
0.24445905,0.18799986,0.60538453
0.24445218,0.19985001,0.60541677
0.24444319,0.21181567,0.60545617
