"Points:0","Points:1","Points:2"
0.1075592,0.10385923,0.56165516
0.10755852,0.11157133,0.56233221
0.10755783,0.11927536,0.56299591
0.10755713,0.1269715,0.56365472
0.10755634,0.13470471,0.56433213
0.10755343,0.14264834,0.56531566
0.10754892,0.15067941,0.56673729
0.10754535,0.15874593,0.56829411
0.10754171,0.1668269,0.56984913
0.10753765,0.17505139,0.57147223
0.10753281,0.1834019,0.57314807
0.10752659,0.19181135,0.57493031
0.10751976,0.20027278,0.57684666
0.10751316,0.20887095,0.57880658
0.10750657,0.21759857,0.58074915
0.10750053,0.22643535,0.58261108
0.1074949,0.23536199,0.58440655
0.10748746,0.24446771,0.5860824
0.10747948,0.25378978,0.58755916
0.10747243,0.26329261,0.58884293
0.10746755,0.2730507,0.58993059
0.10746519,0.28325191,0.59080923
0.10746293,0.29398778,0.5914399
0.10746046,0.30527207,0.59183937
0.12267758,0.10385825,0.56166488
0.12267554,0.1115684,0.5623408
0.12267346,0.11927051,0.56300384
0.12267137,0.12696475,0.56366205
0.122669,0.13469607,0.5643388
0.12266029,0.14263789,0.56532162
0.12264676,0.15066715,0.56674278
0.12263605,0.1587331,0.56829888
0.12262513,0.16681355,0.56985313
0.12261295,0.17503762,0.57147533
0.12259842,0.18338788,0.57315022
0.12257976,0.19179682,0.5749318
0.12255929,0.20025881,0.57684755
0.12253948,0.20885889,0.57880658
0.12251973,0.21758853,0.58074832
0.12250159,0.22642739,0.58260947
0.1224847,0.23535591,0.58440423
0.12246237,0.24446274,0.5860796
0.12243843,0.25378627,0.58755618
0.12241727,0.26329073,0.58884001
0.12240266,0.27305052,0.58992761
0.12239558,0.28325379,0.59080589
0.12238879,0.29399151,0.59143597
0.12238139,0.30527636,0.59183532
0.13779594,0.10385726,0.56167418
0.13779254,0.11156548,0.56234932
0.13778909,0.11926566,0.56301177
0.13778558,0.126958,0.56366932
0.13778165,0.13468742,0.56434554
0.13776714,0.14262743,0.56532758
0.13774461,0.15065487,0.56674832
0.13772674,0.15872027,0.56830364
0.13770854,0.16680022,0.56985712
0.13768823,0.17502384,0.57147843
0.13766403,0.18337384,0.57315236
0.13763294,0.1917823,0.57493323
0.13759881,0.20024483,0.57684845
0.13756579,0.20884682,0.57880658
0.13753289,0.21757849,0.58074743
0.13750266,0.22641943,0.58260787
0.13747451,0.23534982,0.58440191
0.13743728,0.24445777,0.58607674
0.13739738,0.25378278,0.5875532
0.13736212,0.26328883,0.58883709
0.13733777,0.27305034,0.58992469
0.13732597,0.28325567,0.59080255
0.13731465,0.29399526,0.59143203
0.13730231,0.30528063,0.59183127
0.1529765,0.10385647,0.56167936
0.15296954,0.11156309,0.56235373
0.15296257,0.1192617,0.56301564
0.15295558,0.12695248,0.56367272
0.15294799,0.13468038,0.5643484
0.15292493,0.14261891,0.56532985
0.15288961,0.15064475,0.56675035
0.15286036,0.15870963,0.56830513
0.15283087,0.16678907,0.56985801
0.15279852,0.17501228,0.57147861
0.15276077,0.18336202,0.57315183
0.15271336,0.19176993,0.57493228
0.15266158,0.20023292,0.57684714
0.15261137,0.20883662,0.57880461
0.15256165,0.21757011,0.58074492
0.15251605,0.226413,0.58260489
0.15247369,0.2353451,0.58439839
0.15241887,0.24445401,0.58607286
0.15236129,0.25378031,0.58754945
0.15231062,0.26328781,0.58883351
0.15227543,0.27305087,0.5899213
0.1522579,0.28325805,0.59079885
0.15224114,0.29399934,0.59142786
0.15222363,0.30528519,0.59182703
0.16842195,0.10385524,0.56168467
0.16840212,0.11155945,0.56235868
0.16838229,0.11925567,0.56301987
0.16836245,0.12694407,0.5636763
0.16834176,0.1346696,0.56435126
0.16830184,0.14260606,0.56533158
0.16824269,0.15063061,0.56675017
0.16818279,0.15869415,0.56830329
0.1681226,0.16677228,0.56985444
0.16805828,0.1749943,0.57147336
0.16798617,0.18334338,0.57314473
0.16790561,0.19175185,0.5749231
0.1678209,0.20021658,0.57683575
0.16773567,0.20882256,0.57879126
0.16765128,0.21755874,0.58072984
0.16757035,0.22640474,0.58258843
0.16749361,0.23534054,0.58438104
0.16741326,0.24445388,0.58605534
0.16733824,0.25378489,0.5875324
0.16727436,0.26329696,0.5888173
0.1672246,0.27306405,0.58990586
0.16719007,0.28327438,0.59078413
0.16716145,0.29401755,0.5914135
