"Points:0","Points:1","Points:2"
0.10627145,0.1058998,0.60554856
0.1062714,0.11769941,0.60555708
0.10627135,0.129499,0.60556555
0.1062713,0.14129861,0.60557407
0.10627121,0.15314588,0.60558701
0.10627107,0.16506913,0.60560846
0.10627093,0.17699239,0.60562998
0.10627079,0.18891564,0.60565144
0.10627063,0.20087495,0.60567421
0.10627043,0.21292357,0.60570168
0.10627024,0.22497219,0.60572922
0.10627004,0.23702081,0.6057567
0.10626984,0.24909745,0.60578418
0.10626964,0.26127201,0.60581213
0.10626944,0.27344704,0.60584003
0.10626924,0.28562209,0.60586792
0.10626905,0.29782107,0.6058954
0.1062689,0.31012413,0.60591817
0.10626876,0.32243034,0.60594064
0.10626861,0.33473653,0.60596317
0.10626848,0.34706482,0.60598469
0.10626843,0.35949919,0.60599363
0.10626838,0.37193871,0.6060015
0.10626834,0.38437819,0.60600936
0.11881435,0.1058998,0.60554862
0.11881419,0.11769939,0.60555708
0.11881404,0.12949899,0.60556561
0.11881389,0.14129859,0.60557407
0.11881364,0.15314586,0.60558701
0.11881322,0.1650691,0.60560852
0.11881279,0.17699236,0.60562998
0.11881237,0.18891561,0.6056515
0.11881191,0.20087491,0.60567421
0.11881131,0.21292353,0.60570174
0.11881071,0.22497214,0.60572922
0.11881012,0.23702076,0.6057567
0.11880951,0.24909741,0.60578418
0.11880892,0.26127198,0.60581213
0.11880831,0.27344701,0.60584003
0.11880772,0.28562206,0.60586792
0.11880713,0.29782107,0.6058954
0.1188067,0.31012416,0.60591811
0.11880627,0.32243034,0.60594064
0.11880584,0.33473656,0.60596311
0.11880543,0.34706488,0.60598469
0.11880527,0.35949925,0.60599357
0.11880514,0.37193877,0.60600144
0.11880501,0.38437828,0.6060093
0.13135724,0.1058998,0.60554868
0.13135698,0.11769938,0.60555714
0.13135673,0.12949897,0.60556561
0.13135648,0.14129856,0.60557413
0.13135608,0.15314583,0.60558707
0.13135536,0.16506907,0.60560852
0.13135464,0.17699231,0.60563004
0.13135394,0.18891557,0.6056515
0.13135317,0.20087487,0.60567427
0.13135217,0.21292348,0.60570174
0.13135119,0.2249721,0.60572922
0.13135019,0.23702072,0.6057567
0.13134919,0.24909738,0.60578418
0.13134819,0.26127192,0.60581213
0.13134719,0.27344701,0.60584003
