"Points:0","Points:1","Points:2"
0.10726331,0.10421114,0.57378268
0.10726119,0.11262975,0.57426822
0.10725906,0.12104385,0.57474279
0.10725694,0.12945358,0.57521415
0.10725472,0.13790841,0.57570273
0.10725035,0.14660378,0.57646751
0.10724391,0.15537429,0.57758015
0.10723778,0.16413204,0.57872552
0.10723159,0.172912,0.57987195
0.10722499,0.18185593,0.58107883
0.1072176,0.19094507,0.58233321
0.10720889,0.20010926,0.58368665
0.1071991,0.20936167,0.58510274
0.10718919,0.21876124,0.58652866
0.10717932,0.22829629,0.58795351
0.10717001,0.23794276,0.58931899
0.10716113,0.24768034,0.5906384
0.10715086,0.25757742,0.59188038
0.107141,0.2676242,0.5930205
0.10713225,0.27783468,0.59400487
0.10712563,0.28830582,0.59480864
0.10712139,0.29924053,0.59541094
0.10711788,0.31057128,0.59583163
0.10711514,0.32213044,0.5961442
0.12178992,0.10421163,0.57376552
0.12178355,0.11263123,0.5742507
0.12177718,0.12104631,0.57472533
0.12177081,0.12945701,0.57519668
0.12176417,0.13791281,0.57568538
0.12175105,0.14660923,0.57645023
0.12173174,0.15538009,0.57756352
0.12171333,0.16413824,0.57870942
0.1216948,0.17291859,0.5798564
0.12167495,0.18186298,0.58106375
0.1216528,0.1909527,0.58231854
0.12162665,0.20011716,0.5836727
0.12159732,0.20936987,0.5850898
0.12156758,0.21876974,0.58651668
0.12153796,0.22830531,0.58794242
0.12151002,0.23795243,0.5893088
0.12148341,0.24769048,0.59062904
0.12145257,0.25758731,0.59187204
0.12142298,0.26763389,0.59301311
0.12139675,0.27784407,0.59399849
0.12137688,0.28831506,0.59480321
0.12136415,0.29924992,0.59540594
0.12135363,0.31058046,0.59582686
0.12134542,0.32213923,0.59613973
0.13631652,0.10421212,0.57374805
0.13630591,0.11263271,0.57423317
0.1362953,0.12104876,0.57470787
0.13628469,0.12946044,0.57517928
0.13627361,0.13791721,0.57566798
0.13625175,0.14661469,0.57643294
0.13621958,0.1553859,0.57754683
0.13618889,0.16414444,0.57869333
0.136158,0.17292519,0.57984078
0.13612494,0.18187001,0.58104861
0.13608801,0.19096033,0.58230388
0.13604443,0.20012505,0.58365875
0.13599554,0.20937805,0.58507687
0.13594596,0.21877825,0.5865047
0.13589661,0.22831433,0.58793133
0.13585004,0.2379621,0.58929867
0.13580568,0.24770063,0.59061974
0.13575427,0.25759721,0.59186363
0.13570496,0.26764354,0.59300572
0.13566124,0.27785349,0.59399217
0.13562812,0.2883243,0.59479773
0.13560691,0.29925931,0.59540093
0.13558938,0.31058967,0.59582216
0.1355757,0.32214805,0.59613526
0.15084967,0.10421261,0.57373071
0.15083438,0.11263418,0.57421571
0.15081912,0.12105121,0.57469046
0.15080388,0.12946385,0.57516193
0.15078799,0.13792157,0.57565063
0.15075687,0.14662012,0.57641572
0.15071106,0.15539171,0.57753021
0.1506674,0.16415064,0.5786773
0.15062357,0.17293176,0.57982522
0.15057676,0.18187705,0.58103353
0.15052463,0.19096796,0.58228922
0.15046319,0.20013295,0.58364487
0.15039439,0.20938623,0.58506393
0.15032472,0.21878676,0.58649266
0.15025544,0.22832334,0.58792025
0.15019014,0.23797177,0.58928847
0.15012799,0.24771079,0.59061038
0.15005599,0.2576071,0.59185523
0.14998695,0.2676532,0.59299833
0.14992572,0.27786291,0.5939858
0.14987937,0.28833354,0.59479231
0.14984967,0.29926869,0.59539592
0.14982513,0.31059888,0.59581739
0.14980598,0.32215688,0.59613079
0.16525716,0.10421154,0.57373577
0.16523761,0.11263096,0.57422054
0.16521806,0.12104587,0.57469481
0.1651985,0.1294564,0.57516587
0.16517811,0.13791202,0.57565409
0.16513954,0.1466088,0.57641816
0.16508293,0.15537946,0.57753134
0.16502678,0.16413754,0.57867718
0.16497031,0.17291786,0.57982385
0.16490987,0.18186247,0.58103085
0.16484205,0.19095331,0.58228511
0.16476616,0.20011951,0.58363897
0.16468562,0.20937483,0.58505642
0.16460398,0.21877746,0.5864836
0.16452298,0.22831655,0.5879097
0.16444515,0.23796797,0.58927673
0.16437115,0.24771059,0.59059787
0.16429371,0.25761116,0.59184229
0.16422069,0.2676616,0.59298527
0.164158,0.27787551,0.59397292
0.16410883,0.28834981,0.59477973
0.16407417,0.29928759,0.59538358
0.16404626,0.31061885,0.59580547
0.16402562,0.32217741,0.59611917
0.17962687,0.10421022,0.57374519
0.17960377,0.11262702,0.57422936
0.17958069,0.12103931,0.57470304
0.17955759,0.12944724,0.57517344
0.17953347,0.13790025,0.57566106
0.17948802,0.14659481,0.57642388
0.17942204,0.15536432,0.57753521
0.17935489,0.16412131,0.57867944
