"Points:0","Points:1","Points:2"
0.10626543,0.10594843,0.60574132
0.10626539,0.11784528,0.60574752
0.10626535,0.12974213,0.60575372
0.10626531,0.14163899,0.60575992
0.10626525,0.15357919,0.60576957
0.10626515,0.16558391,0.60578525
0.10626505,0.17758863,0.60580087
0.10626494,0.18959336,0.60581648
0.10626483,0.20163232,0.60583323
0.10626469,0.21374325,0.6058532
0.10626455,0.22585419,0.60587317
0.1062644,0.23796512,0.60589314
0.10626426,0.25010422,0.6059131
0.10626411,0.26232663,0.60593337
0.10626397,0.27454907,0.60595363
0.10626382,0.28677148,0.60597384
0.10626368,0.29901794,0.60599363
0.10626358,0.31135145,0.60600996
0.10626347,0.32368553,0.60602623
0.10626337,0.33601961,0.6060425
0.10626327,0.34837586,0.60605776
0.10626324,0.36082265,0.60606372
0.10626321,0.37327105,0.60606939
0.10626318,0.38571945,0.60607505
0.11879627,0.10594843,0.60574132
0.11879616,0.11784527,0.60574752
0.11879605,0.12974213,0.60575378
0.11879594,0.14163898,0.60575998
0.11879575,0.15357918,0.60576963
0.11879545,0.16558389,0.60578525
0.11879514,0.17758861,0.60580087
0.11879483,0.18959333,0.60581654
0.11879449,0.20163229,0.60583323
0.11879406,0.21374322,0.6058532
0.11879364,0.22585416,0.60587317
0.1187932,0.23796509,0.60589314
0.11879277,0.25010419,0.6059131
0.11879234,0.2623266,0.60593337
0.11879191,0.27454904,0.60595363
0.11879147,0.28677148,0.60597384
0.11879105,0.29901794,0.60599363
0.11879074,0.31135145,0.60600996
0.11879043,0.32368556,0.60602623
0.11879011,0.33601964,0.6060425
0.11878982,0.34837589,0.60605776
0.11878972,0.36082268,0.60606372
0.11878962,0.37327108,0.60606939
0.11878952,0.38571951,0.60607505
0.13132712,0.10594843,0.60574138
0.13132693,0.11784527,0.60574758
0.13132675,0.12974212,0.60575378
0.13132657,0.14163896,0.60575998
0.13132626,0.15357915,0.60576963
0.13132575,0.16558386,0.60578525
0.13132523,0.17758858,0.60580093
0.13132472,0.1895933,0.60581654
0.13132416,0.20163226,0.60583323
0.13132344,0.21374319,0.6058532
0.13132273,0.22585413,0.60587317
0.13132201,0.23796506,0.60589314
0.1313213,0.25010416,0.6059131
0.13132057,0.2623266,0.60593337
0.13131984,0.27454904,0.60595363
0.13131912,0.28677145,0.60597384
0.13131842,0.29901794,0.60599363
0.1313179,0.31135145,0.60600996
0.13131738,0.32368556,0.60602617
0.13131686,0.33601967,0.60604244
0.13131636,0.34837592,0.60605776
0.1313162,0.36082271,0.60606366
0.13131604,0.37327114,0.60606933
0.13131586,0.38571954,0.60607499
0.14385797,0.10594842,0.60574138
0.1438577,0.11784527,0.60574758
0.14385745,0.1297421,0.60575378
0.1438572,0.14163895,0.60575998
0.14385676,0.15357913,0.60576963
0.14385605,0.16558385,0.60578531
0.14385533,0.17758857,0.60580093
0.1438546,0.18959327,0.60581654
0.14385381,0.20163223,0.60583329
0.14385282,0.21374317,0.60585326
0.14385182,0.2258541,0.60587317
0.1438508,0.23796503,0.60589314
0.1438498,0.25010413,0.6059131
0.14384879,0.26232657,0.60593337
0.14384778,0.27454901,0.60595357
0.14384677,0.28677145,0.60597384
0.14384578,0.29901794,0.60599363
0.14384505,0.31135148,0.6060099
0.14384432,0.32368556,0.60602617
0.14384359,0.33601967,0.60604244
0.14384292,0.34837595,0.6060577
0.14384267,0.36082277,0.60606366
0.14384244,0.37327117,0.60606933
0.14384221,0.3857196,0.60607499
0.15638915,0.10594842,0.60574144
0.15638882,0.11784525,0.60574764
0.15638848,0.12974209,0.60575384
0.15638813,0.14163892,0.60576004
0.15638757,0.1535791,0.60576969
0.15638661,0.1655838,0.60578531
0.15638566,0.17758852,0.60580093
0.15638471,0.18959323,0.6058166
0.15638366,0.20163219,0.60583329
0.15638234,0.21374312,0.60585326
0.15638101,0.22585405,0.60587323
0.15637967,0.23796499,0.60589314
0.15637834,0.25010407,0.6059131
0.156377,0.26232654,0.60593337
0.15637566,0.27454898,0.60595357
0.15637432,0.28677142,0.60597384
0.15637302,0.29901791,0.60599357
0.15637206,0.31135148,0.6060099
0.15637109,0.32368559,0.60602611
0.15637012,0.33601972,0.60604239
0.15636922,0.34837601,0.60605764
0.1563689,0.36082283,0.6060636
0.15636858,0.37327126,0.60606927
0.15636829,0.38571972,0.60607493
0.16892068,0.10594841,0.6057415
0.16892025,0.11784524,0.6057477
0.16891982,0.12974206,0.6057539
0.16891937,0.14163888,0.6057601
0.16891865,0.15357904,0.60576975
0.16891745,0.16558374,0.60578537
0.16891623,0.17758845,0.60580099
0.16891502,0.18959315,0.6058166
0.16891368,0.2016321,0.60583335
0.16891199,0.21374303,0.60585326
0.16891029,0.22585396,0.60587323
0.16890861,0.2379649,0.60589314
0.16890691,0.25010401,0.6059131
0.1689052,0.26232648,0.60593337
0.16890348,0.27454892,0.60595357
0.16890179,0.28677139,0.60597378
0.16890013,0.29901791,0.60599357
0.1688989,0.31135148,0.60600984
0.16889766,0.32368565,0.60602611
0.16889644,0.33601978,0.60604233
0.16889527,0.3483761,0.60605758
0.16889487,0.36082295,0.60606354
0.16889447,0.37327141,0.60606921
0.16889408,0.38571987,0.60607487
0.18145221,0.1059484,0.60574156
0.18145168,0.11784521,0.60574776
0.18145116,0.12974203,0.60575396
0.18145062,0.14163885,0.60576016
0.18144976,0.153579,0.60576981
0.18144828,0.16558369,0.60578543
0.18144681,0.17758839,0.60580105
0.18144533,0.18959308,0.60581666
0.18144371,0.20163202,0.60583335
0.18144165,0.21374296,0.60585332
0.18143959,0.22585389,0.60587323
0.18143754,0.23796482,0.60589314
0.18143548,0.25010392,0.6059131
0.18143339,0.26232642,0.60593331
0.18143132,0.27454889,0.60595351
0.18142924,0.28677136,0.60597378
0.18142723,0.29901788,0.60599351
0.18142574,0.31135148,0.60600978
0.18142423,0.32368568,0.60602605
0.18142274,0.33601984,0.60604227
0.18142134,0.34837618,0.60605752
0.18142083,0.36082307,0.60606349
0.18142036,0.37327155,0.60606915
0.18141989,0.38572004,0.60607475
0.19398373,0.1059484,0.60574168
0.19398311,0.1178452,0.60574788
0.1939825,0.129742,0.60575402
0.19398187,0.1416388,0.60576022
0.19398084,0.15357895,0.60576987
0.1939791,0.16558363,0.60578549
0.19397737,0.17758831,0.60580111
0.19397564,0.189593,0.60581672
0.19397373,0.20163195,0.60583341
0.19397131,0.21374288,0.60585332
0.19396889,0.22585382,0.60587323
0.19396646,0.23796475,0.60589319
0.19396403,0.25010386,0.6059131
0.19396159,0.26232636,0.60593331
0.19395915,0.27454883,0.60595351
0.1939567,0.28677133,0.60597372
0.19395433,0.29901788,0.60599345
0.19395256,0.31135151,0.60600972
0.1939508,0.32368571,0.60602599
0.19394904,0.3360199,0.60604221
0.1939474,0.34837627,0.60605747
0.19394681,0.36082318,0.60606337
0.19394626,0.3732717,0.60606903
0.19394569,0.38572022,0.60607469
0.20651604,0.1059484,0.60574174
0.2065153,0.11784518,0.60574794
0.20651457,0.12974197,0.60575414
0.20651382,0.14163874,0.60576034
0.2065126,0.15357888,0.60576993
0.20651054,0.16558357,0.60578555
0.20650847,0.17758824,0.60580117
0.20650642,0.18959291,0.60581672
0.20650415,0.20163184,0.60583341
0.20650128,0.21374278,0.60585332
0.2064984,0.22585373,0.60587329
0.20649552,0.23796466,0.60589319
0.20649265,0.25010377,0.6059131
0.20648974,0.26232627,0.60593331
0.20648684,0.2745488,0.60595351
0.20648395,0.2867713,0.60597366
0.20648113,0.29901785,0.60599339
0.20647903,0.31135154,0.60600966
0.20647694,0.32368577,0.60602587
0.20647484,0.33602002,0.60604209
0.20647289,0.34837642,0.60605735
0.20647219,0.36082336,0.60606331
0.20647152,0.37327191,0.60606891
0.20647086,0.38572046,0.60607457
0.2190491,0.10594838,0.60574186
0.21904822,0.11784515,0.60574806
0.21904734,0.12974192,0.60575426
0.21904646,0.14163868,0.6057604
0.21904501,0.1535788,0.60577005
0.21904255,0.16558348,0.60578561
0.21904011,0.17758814,0.60580122
0.21903765,0.18959281,0.60581678
0.21903497,0.20163172,0.60583347
0.21903156,0.21374267,0.60585338
0.21902815,0.22585361,0.60587329
0.21902472,0.23796456,0.60589314
0.21902131,0.25010365,0.6059131
0.21901785,0.26232621,0.60593325
0.21901441,0.27454874,0.60595345
0.21901096,0.28677127,0.6059736
0.21900761,0.29901785,0.60599333
0.21900512,0.31135157,0.6060096
0.21900263,0.32368585,0.60602576
0.21900015,0.33602017,0.60604197
0.21899782,0.3483766,0.60605723
0.21899699,0.3608236,0.60606313
0.2189962,0.37327221,0.60606879
0.21899541,0.38572079,0.60607439
0.23158216,0.10594837,0.60574198
0.23158114,0.11784513,0.60574818
0.23158012,0.12974188,0.60575432
0.2315791,0.14163862,0.60576051
0.23157741,0.15357873,0.60577011
0.23157458,0.16558339,0.60578573
0.23157173,0.17758805,0.60580128
0.2315689,0.1895927,0.60581684
0.23156577,0.20163161,0.60583353
0.23156182,0.21374255,0.60585338
0.23155788,0.2258535,0.60587329
0.23155391,0.23796444,0.60589314
0.23154996,0.25010356,0.60591304
0.23154597,0.26232612,0.60593325
0.23154198,0.27454868,0.6059534
0.23153798,0.28677124,0.60597354
0.23153411,0.29901785,0.60599327
0.23153122,0.31135163,0.60600948
0.23152833,0.32368594,0.6060257
0.23152545,0.33602029,0.60604185
0.23152275,0.34837681,0.60605711
0.23152179,0.36082384,0.60606301
0.23152088,0.37327248,0.60606861
0.23151995,0.38572115,0.60607427
0.24411522,0.10594837,0.6057421
0.24411406,0.1178451,0.60574824
0.24411289,0.12974183,0.60575444
0.24411173,0.14163856,0.60576063
0.24410982,0.15357865,0.60577023
0.24410659,0.1655833,0.60578579
0.24410337,0.17758794,0.60580134
0.24410014,0.18959258,0.6058169
0.24409659,0.2016315,0.60583353
0.24409211,0.21374243,0.60585344
0.24408761,0.22585338,0.60587329
0.24408312,0.23796433,0.60589314
0.24407861,0.25010344,0.60591304
0.24407408,0.26232603,0.60593319
0.24406953,0.27454862,0.60595334
0.244065,0.28677121,0.60597348
0.24406059,0.29901782,0.60599315
0.24405731,0.31135166,0.60600936
0.24405403,0.32368603,0.60602558
0.24405076,0.33602044,0.60604173
0.24404769,0.34837699,0.60605693
0.24404658,0.36082408,0.60606283
0.24404556,0.37327278,0.60606849
0.24404451,0.38572147,0.60607409
0.2566497,0.10594836,0.60574216
0.25664836,0.11784507,0.60574836
0.25664699,0.12974179,0.60575455
0.25664565,0.1416385,0.60576069
0.25664344,0.15357858,0.60577029
0.25663969,0.16558322,0.60578585
0.25663596,0.17758785,0.6058014
0.25663224,0.1895925,0.60581696
0.25662813,0.2016314,0.60583359
0.25662294,0.21374233,0.60585344
0.25661772,0.22585328,0.60587329
0.25661254,0.23796423,0.60589314
0.25660732,0.25010335,0.60591298
0.25660208,0.26232597,0.60593313
0.25659683,0.27454859,0.60595328
0.25659159,0.28677118,0.60597336
0.25658649,0.29901785,0.60599303
0.25658268,0.31135175,0.60600924
0.25657889,0.32368618,0.6060254
0.25657511,0.33602065,0.60604155
0.25657153,0.34837726,0.60605675
0.25657028,0.36082441,0.60606265
0.25656906,0.37327316,0.60606831
0.25656784,0.38572192,0.60607392
0.26918551,0.10594835,0.60574228
0.26918393,0.11784505,0.60574847
0.26918238,0.12974176,0.60575461
0.2691808,0.14163846,0.60576081
0.26917821,0.15357852,0.60577035
0.26917383,0.16558315,0.60578591
0.26916948,0.17758778,0.60580146
0.26916513,0.18959239,0.60581702
0.26916033,0.20163129,0.60583359
0.26915428,0.21374224,0.60585344
0.26914823,0.22585319,0.60587329
0.26914218,0.23796415,0.60589308
0.2691361,0.25010329,0.60591292
0.26912999,0.26232591,0.60593301
0.26912388,0.27454856,0.60595316
0.26911777,0.28677121,0.60597324
0.26911184,0.29901788,0.60599291
0.26910737,0.31135184,0.60600907
0.26910296,0.32368636,0.60602522
0.26909852,0.33602089,0.60604137
0.26909438,0.34837759,0.60605657
0.26909289,0.36082482,0.60606247
0.26909146,0.37327364,0.60606807
0.26909006,0.38572249,0.60607368
0.28172135,0.10594834,0.60574239
0.28171954,0.11784503,0.60574853
0.28171775,0.12974171,0.60575473
0.28171593,0.1416384,0.60576087
0.28171298,0.15357845,0.60577047
0.28170797,0.16558307,0.60578597
0.281703,0.17758769,0.60580152
0.28169799,0.1895923,0.60581702
0.28169253,0.20163119,0.60583359
0.28168562,0.21374215,0.60585344
0.28167871,0.2258531,0.60587323
0.28167182,0.23796406,0.60589302
0.28166488,0.25010321,0.60591286
0.2816579,0.26232588,0.60593295
0.28165093,0.27454853,0.60595304
0.28164393,0.28677121,0.60597312
0.28163716,0.29901794,0.60599273
0.28163207,0.31135195,0.60600895
0.281627,0.32368654,0.60602504
0.28162193,0.33602116,0.60604119
0.28161719,0.34837791,0.60605633
0.28161547,0.36082524,0.60606223
0.28161386,0.37327415,0.60606784
0.28161225,0.38572305,0.60607344
0.29425716,0.10594834,0.60574251
0.29425514,0.11784501,0.60574865
0.29425311,0.12974168,0.60575479
0.29425108,0.14163835,0.60576099
0.29424775,0.15357839,0.60577053
0.29424211,0.16558298,0.60578603
0.29423651,0.1775876,0.60580152
0.29423088,0.18959221,0.60581708
0.29422474,0.2016311,0.60583365
0.29421696,0.21374205,0.60585344
0.29420921,0.22585301,0.60587323
0.29420143,0.23796397,0.60589302
0.29419366,0.25010312,0.6059128
0.29418582,0.26232582,0.60593289
0.29417798,0.27454853,0.60595292
0.29417011,0.28677121,0.60597301
0.29416251,0.29901797,0.60599262
0.29415676,0.31135207,0.60600877
0.29415107,0.32368675,0.60602486
0.29414535,0.33602139,0.60604095
0.29414001,0.34837824,0.60605609
0.29413807,0.36082563,0.606062
0.29413626,0.37327462,0.6060676
0.29413444,0.38572362,0.6060732
0.30679548,0.10594834,0.60574251
0.30679312,0.117845,0.60574865
0.30679077,0.12974167,0.60575479
0.30678841,0.14163834,0.60576093
0.30678457,0.15357837,0.60577053
0.3067781,0.16558298,0.60578603
0.30677164,0.17758758,0.60580152
0.30676517,0.1895922,0.60581702
0.30675811,0.20163108,0.60583353
0.30674922,0.21374205,0.60585332
0.30674031,0.22585301,0.60587311
0.30673143,0.23796397,0.60589284
0.30672252,0.25010315,0.60591263
0.30671352,0.26232585,0.60593271
0.30670455,0.27454859,0.60595274
0.30669555,0.2867713,0.60597283
0.30668682,0.29901811,0.60599244
0.30668023,0.31135225,0.60600853
0.30667365,0.32368699,0.60602462
0.30666706,0.33602172,0.60604072
0.30666092,0.34837863,0.60605586
0.30665869,0.36082613,0.6060617
0.30665657,0.37327525,0.6060673
0.30665445,0.38572437,0.6060729
0.31933606,0.10594834,0.60574239
0.31933329,0.11784501,0.60574853
0.31933054,0.12974168,0.60575473
0.31932777,0.14163837,0.60576087
0.3193233,0.15357842,0.60577041
0.31931579,0.16558303,0.60578591
0.31930828,0.17758764,0.60580134
0.31930077,0.18959226,0.60581684
0.31929258,0.20163116,0.60583341
0.31928229,0.21374212,0.60585314
0.31927201,0.22585309,0.60587293
0.31926176,0.23796406,0.60589266
0.31925148,0.25010324,0.60591245
0.31924108,0.26232597,0.60593247
0.31923068,0.27454874,0.60595256
0.31922027,0.28677148,0.60597259
0.31921017,0.29901829,0.60599214
0.31920248,0.31135255,0.60600829
0.31919482,0.32368734,0.60602438
0.31918716,0.33602214,0.60604042
0.31918001,0.34837914,0.60605556
0.31917739,0.36082676,0.6060614
0.31917492,0.373276,0.606067
0.31917244,0.38572523,0.6060726
0.33187661,0.10594834,0.60574234
0.33187348,0.11784503,0.60574847
0.33187032,0.12974171,0.60575461
0.33186716,0.1416384,0.60576075
0.33186203,0.15357845,0.60577029
0.33185348,0.16558307,0.60578579
0.33184493,0.1775877,0.60580122
0.33183637,0.18959232,0.60581672
0.33182704,0.20163122,0.60583323
0.33181539,0.2137422,0.60585302
0.33180371,0.22585317,0.60587275
0.33179209,0.23796414,0.60589248
0.3317804,0.25010332,0.60591221
0.3317686,0.26232609,0.6059323
0.3317568,0.27454889,0.60595232
0.331745,0.28677166,0.60597235
0.33173355,0.2990185,0.6059919
0.33172476,0.31135282,0.60600799
0.33171603,0.32368767,0.60602409
0.3317073,0.33602256,0.60604012
0.3316991,0.34837961,0.60605526
0.33169609,0.36082736,0.6060611
0.33169326,0.37327674,0.6060667
0.33169043,0.38572609,0.60607225
0.34441718,0.10594834,0.60574222
0.34441364,0.11784504,0.60574836
0.34441009,0.12974173,0.60575449
0.34440655,0.14163843,0.60576063
0.34440076,0.15357849,0.60577017
0.34439117,0.16558312,0.60578567
0.34438157,0.17758775,0.60580111
0.34437194,0.18959238,0.60581654
0.34436148,0.20163129,0.60583311
0.34434846,0.21374227,0.60585284
0.34433544,0.22585325,0.60587257
0.34432238,0.23796423,0.6058923
0.34430933,0.25010341,0.60591203
0.34429613,0.26232621,0.60593206
0.34428293,0.27454901,0.60595208
0.34426972,0.28677183,0.60597211
0.34425691,0.29901871,0.60599166
0.34424704,0.31135309,0.60600775
0.34423721,0.32368803,0.60602379
0.3442274,0.33602297,0.60603988
0.34421819,0.34838009,0.60605496
0.34421483,0.36082798,0.6060608
0.34421161,0.37327746,0.60606635
0.34420842,0.38572696,0.60607195
0.35696286,0.10594837,0.6057421
0.35695869,0.1178451,0.60574824
0.35695451,0.12974183,0.60575438
0.35695034,0.14163856,0.60576051
0.35694364,0.15357865,0.60577005
0.35693252,0.16558331,0.60578549
0.35692143,0.17758797,0.60580099
0.35691032,0.18959261,0.60581642
0.35689828,0.20163155,0.60583293
0.35688341,0.21374252,0.60585266
0.35686854,0.22585352,0.60587239
0.35685366,0.2379645,0.60589212
0.35683876,0.25010368,0.60591185
0.35682368,0.26232651,0.60593188
0.35680863,0.27454934,0.60595191
0.35679355,0.28677213,0.60597187
0.35677892,0.29901904,0.60599142
0.35676748,0.31135345,0.60600752
0.35675609,0.32368842,0.60602355
0.35674471,0.33602339,0.60603964
0.35673404,0.34838057,0.60605472
0.35673007,0.36082852,0.60606056
0.35672632,0.37327811,0.60606611
0.35672256,0.38572767,0.60607165
0.36951306,0.1059484,0.60574198
0.36950809,0.11784519,0.60574812
0.36950311,0.129742,0.60575426
0.3694981,0.14163879,0.6057604
0.36949021,0.15357894,0.60576993
0.36947718,0.16558363,0.60578537
0.36946419,0.17758831,0.60580081
0.3694512,0.18959302,0.60581625
0.36943716,0.20163196,0.60583276
0.36942002,0.21374296,0.60585248
0.36940292,0.22585395,0.60587221
0.36938578,0.23796494,0.60589194
0.36936864,0.25010413,0.60591167
0.36935127,0.26232696,0.6059317
0.36933392,0.27454975,0.60595173
0.36931655,0.28677258,0.60597169
0.36929965,0.29901949,0.60599124
0.36928621,0.31135389,0.60600734
0.3692728,0.32368886,0.60602343
0.36925942,0.33602384,0.60603946
0.36924684,0.34838101,0.60605448
0.3692421,0.36082903,0.60606039
0.3692376,0.37327868,0.60606593
0.3692331,0.3857283,0.60607147
0.3820633,0.10594843,0.60574186
0.38205749,0.11784529,0.605748
0.38205171,0.12974216,0.60575408
0.38204589,0.14163901,0.60576022
0.38203678,0.15357922,0.60576975
0.38202187,0.16558395,0.60578519
0.38200697,0.17758867,0.60580063
0.38199207,0.1895934,0.60581607
0.38197604,0.2016324,0.60583258
0.38195667,0.21374339,0.60585231
0.3819373,0.22585438,0.60587204
0.38191792,0.23796538,0.60589176
0.38189852,0.25010458,0.60591149
0.38187888,0.2623274,0.60593152
0.38185921,0.2745502,0.60595155
0.38183957,0.28677303,0.60597157
0.38182041,0.29901993,0.60599113
0.38180494,0.31135434,0.60600716
0.38178954,0.32368928,0.60602325
0.38177413,0.33602425,0.60603929
0.38175967,0.34838143,0.60605431
0.38175416,0.36082953,0.60606015
0.38174891,0.37327924,0.60606575
0.38174367,0.38572893,0.60607129
0.39461353,0.10594846,0.60574168
0.39460692,0.11784539,0.60574782
0.3946003,0.12974231,0.60575396
0.39459369,0.14163925,0.6057601
0.39458334,0.1535795,0.60576963
0.39456654,0.16558427,0.60578507
0.39454973,0.17758903,0.60580051
0.39453292,0.18959379,0.60581595
0.39451492,0.20163281,0.60583246
0.39449328,0.21374382,0.60585219
0.39447168,0.22585481,0.60587186
0.39445004,0.23796582,0.60589159
0.3944284,0.25010502,0.60591131
0.39440647,0.26232785,0.60593134
0.3943845,0.27455065,0.60595137
0.39436257,0.28677347,0.6059714
0.39434114,0.29902035,0.60599095
0.39432368,0.31135476,0.60600704
0.39430627,0.32368973,0.60602307
0.39428884,0.3360247,0.60603911
0.39427248,0.34838188,0.60605413
0.39426619,0.36083004,0.60605997
0.3942602,0.37327978,0.60606557
0.39425421,0.38572955,0.60607111
0.10626543,0.1059484,0.61829233
0.10626539,0.11784518,0.6182977
0.10626535,0.12974197,0.618303
0.10626531,0.14163876,0.61830837
0.10626525,0.15357889,0.61831677
0.10626515,0.16558358,0.61833042
0.10626505,0.17758827,0.61834413
0.10626494,0.18959294,0.61835778
0.10626483,0.20163189,0.61837244
0.10626469,0.21374281,0.61839002
0.10626455,0.22585374,0.61840767
0.1062644,0.23796467,0.61842525
0.10626426,0.25010377,0.61844289
0.10626411,0.26232621,0.61846071
0.10626397,0.27454862,0.6184786
0.10626382,0.28677106,0.61849648
0.10626368,0.29901755,0.61851388
0.10626358,0.31135106,0.61852807
0.10626347,0.32368517,0.61854225
0.10626337,0.33601928,0.61855644
0.10626327,0.34837553,0.61856973
0.10626324,0.36082226,0.61857486
0.10626321,0.37327063,0.61857975
0.10626318,0.38571897,0.61858463
0.11879627,0.10594839,0.61829233
0.11879616,0.11784518,0.6182977
0.11879605,0.12974195,0.61830306
0.11879594,0.14163874,0.61830842
0.11879575,0.15357888,0.61831677
