"Points:0","Points:1","Points:2"
0.10660097,0.10502689,0.59476662
0.10660005,0.11507975,0.59494168
0.10659913,0.12513167,0.59510934
0.10659821,0.13518277,0.59527558
0.10659722,0.14529267,0.59545571
0.10659493,0.15565214,0.59580225
0.10659233,0.16603091,0.59618771
0.10658971,0.17640781,0.59658098
0.10658708,0.18681557,0.59697932
0.10658412,0.19742426,0.59742236
0.10658067,0.20818482,0.59789324
0.10657719,0.21894357,0.59838122
0.10657369,0.22972685,0.59886867
0.10657018,0.24068344,0.59935343
0.10656679,0.25179622,0.59982908
0.10656352,0.2629697,0.60029227
0.10656026,0.27416536,0.60075212
0.10655711,0.28551605,0.60120136
0.10655446,0.29702777,0.60158795
0.10655251,0.30865669,0.60189289
0.10655061,0.32031178,0.60219216
0.10654888,0.33211559,0.60246378
0.10654766,0.34411189,0.60265034
0.10654707,0.35631278,0.60274428
0.11980291,0.10502671,0.59476978
0.11980016,0.11507925,0.59494442
0.1197974,0.12513082,0.59511191
0.11979464,0.13518159,0.59527814
0.11979166,0.14529115,0.59545809
0.11978479,0.15565042,0.59580445
0.11977697,0.16602907,0.59618968
0.11976915,0.17640583,0.59658271
0.11976126,0.18681346,0.59698075
0.11975237,0.19742209,0.59742355
0.11974201,0.20818274,0.59789413
0.11973156,0.2189416,0.59838176
0.11972108,0.22972499,0.59886891
0.11971053,0.24068174,0.59935331
0.11970036,0.25179487,0.59982872
0.11969057,0.26296881,0.60029161
0.11968078,0.27416492,0.60075122
0.11967132,0.28551608,0.60120022
0.11966338,0.2970283,0.60158658
0.11965754,0.30865777,0.60189146
0.11965183,0.32031336,0.60219073
0.11964665,0.33211765,0.60246235
0.11964298,0.34411427,0.60264891
0.11964119,0.35631528,0.60274285
0.13300486,0.10502655,0.59477276
0.13300025,0.11507874,0.5949471
0.13299567,0.12512998,0.59511453
0.13299108,0.13518041,0.59528065
0.1329861,0.14528963,0.59546053
0.13297465,0.15564871,0.59580666
0.13296162,0.16602722,0.59619164
0.13294858,0.17640385,0.59658438
0.13293543,0.18681134,0.59698224
0.13292062,0.1974199,0.59742475
0.13290335,0.20818067,0.59789497
0.13288593,0.21893963,0.59838229
0.13286848,0.22972314,0.59886914
0.13285089,0.24068004,0.59935325
0.13283394,0.25179353,0.59982836
0.13281763,0.26296788,0.60029101
0.13280129,0.27416447,0.60075033
0.13278553,0.28551611,0.60119903
0.1327723,0.29702887,0.60158527
0.13276257,0.30865884,0.60189009
0.13275306,0.32031494,0.6021893
0.13274442,0.3321197,0.60246086
0.13273829,0.34411666,0.60264742
0.13273533,0.35631779,0.60274136
0.1462068,0.10502638,0.59477568
0.14620036,0.11507823,0.59494984
0.14619392,0.12512913,0.59511715
0.1461875,0.13517924,0.59528315
0.14618054,0.14528812,0.59546292
0.14616452,0.15564699,0.59580892
0.14614627,0.16602536,0.59619361
0.14612801,0.17640187,0.59658611
0.14610961,0.18680923,0.59698367
0.14608887,0.19741772,0.59742594
0.1460647,0.20817858,0.59789586
0.14604032,0.21893768,0.59838283
0.14601587,0.22972129,0.59886938
0.14599125,0.24067833,0.59935319
0.14596753,0.25179216,0.599828
0.14594467,0.26296699,0.60029036
0.14592181,0.27416402,0.60074943
0.14589976,0.28551611,0.6011979
0.14588121,0.29702941,0.60158396
0.14586759,0.30865988,0.60188872
0.14585428,0.32031649,0.60218793
0.14584218,0.33212176,0.60245943
0.14583361,0.34411907,0.60264593
0.14582945,0.35632029,0.60273993
0.15942465,0.10502602,0.59478134
0.15941584,0.11507716,0.59495544
0.15940703,0.12512736,0.59512258
0.15939823,0.13517675,0.5952884
0.15938872,0.14528494,0.59546793
0.15936704,0.1556434,0.59581339
0.1593423,0.1660215,0.59619761
0.15931757,0.17639773,0.59658951
0.15929264,0.1868048,0.59698653
0.15926461,0.19741319,0.59742808
0.15923214,0.20817429,0.59789735
0.15919936,0.21893364,0.59838361
0.15916653,0.22971754,0.59886938
0.15913345,0.24067493,0.59935254
0.15910165,0.25178957,0.59982675
0.15907106,0.26296544,0.60028851
0.15904048,0.27416351,0.60074693
0.15901095,0.28551674,0.6011948
0.15898612,0.29703122,0.6015805
0.15896802,0.30866289,0.6018852
0.15895036,0.32032067,0.60218436
0.1589343,0.33212706,0.60245579
0.15892294,0.34412515,0.60264236
0.15891746,0.35632664,0.60273635
0.17265157,0.10502555,0.59478921
0.1726401,0.11507574,0.59496301
0.17262864,0.12512501,0.59512985
0.17261717,0.13517345,0.59529537
0.17260481,0.1452807,0.5954746
0.1725768,0.15563862,0.59581941
0.17254488,0.16601634,0.59620285
0.17251293,0.1763922,0.59659398
0.17248075,0.18679892,0.59699023
0.17244461,0.19740713,0.59743094
0.17240296,0.20816855,0.5978992
0.17236096,0.21892828,0.59838444
0.17231886,0.22971255,0.59886926
0.17227645,0.2406704,0.59935153
0.17223576,0.25178611,0.59982485
0.17219666,0.26296341,0.60028583
0.17215759,0.27416295,0.60074341
0.17211984,0.28551766,0.60119051
0.1720881,0.29703388,0.60157567
0.17206511,0.30866718,0.60188031
0.1720427,0.32032657,0.60217935
0.17202234,0.33213452,0.60245079
0.17200796,0.34413368,0.60263735
0.17200103,0.35633552,0.60273141
0.1858785,0.10502508,0.59479731
0.18586436,0.11507433,0.59497058
0.18585023,0.12512265,0.59513712
0.18583611,0.13517016,0.59530234
0.18582089,0.14527647,0.59548128
0.18578658,0.15563385,0.59582543
0.18574746,0.16601118,0.5962081
0.18570831,0.17638667,0.59659851
0.18566886,0.18679301,0.59699392
0.18562461,0.19740108,0.59743375
