"Points:0","Points:1","Points:2"
0.10626463,0.10595557,0.60576689
0.10626459,0.11786672,0.60577279
0.10626455,0.12977786,0.60577869
0.10626452,0.141689,0.6057846
0.10626446,0.15364279,0.60579377
0.10626437,0.16565943,0.60580868
0.10626427,0.17767607,0.60582352
0.10626417,0.18969272,0.60583842
0.10626406,0.2017433,0.60585433
0.10626393,0.21386385,0.60587329
0.10626379,0.22598441,0.60589224
0.10626366,0.23810497,0.6059112
0.10626352,0.25025365,0.60593021
0.10626338,0.26248273,0.6059494
0.10626324,0.27471179,0.60596865
0.10626311,0.28694084,0.60598785
0.10626297,0.29919395,0.60600662
0.10626288,0.31153178,0.60602206
0.10626278,0.32387003,0.6060375
0.10626268,0.33620825,0.60605294
0.10626259,0.34856865,0.60606742
0.10626256,0.36101708,0.60607302
0.10626252,0.37346676,0.60607839
0.10626249,0.38591644,0.60608375
0.11879388,0.10595557,0.60576689
0.11879378,0.11786671,0.60577279
0.11879367,0.12977785,0.60577869
0.11879356,0.14168899,0.6057846
0.11879339,0.15364277,0.60579377
0.1187931,0.16565941,0.60580868
0.11879281,0.17767605,0.60582352
0.11879251,0.18969269,0.60583842
0.11879219,0.20174327,0.60585433
0.11879179,0.21386383,0.60587329
0.11879138,0.22598438,0.60589224
0.11879097,0.23810494,0.6059112
0.11879056,0.25025365,0.60593021
0.11879015,0.2624827,0.6059494
0.11878974,0.27471176,0.60596865
0.11878933,0.28694081,0.60598785
0.11878893,0.29919395,0.60600662
0.11878863,0.31153178,0.60602206
0.11878833,0.32387003,0.6060375
0.11878804,0.33620825,0.60605294
0.11878776,0.34856868,0.60606742
0.11878766,0.36101711,0.60607296
0.11878757,0.37346679,0.60607839
0.11878747,0.3859165,0.60608375
0.13132313,0.10595557,0.60576689
0.13132297,0.1178667,0.60577279
0.13132279,0.12977783,0.60577869
0.13132261,0.14168897,0.6057846
0.13132232,0.15364276,0.60579383
0.13132183,0.1656594,0.60580868
0.13132134,0.17767604,0.60582358
0.13132086,0.18969268,0.60583842
0.13132033,0.20174325,0.60585433
0.13131964,0.2138638,0.60587329
0.13131896,0.22598436,0.60589224
0.13131829,0.23810491,0.6059112
0.1313176,0.25025362,0.60593021
0.13131692,0.26248267,0.6059494
0.13131623,0.27471176,0.60596865
0.13131554,0.28694081,0.60598785
0.13131487,0.29919392,0.60600662
0.13131438,0.31153178,0.60602206
0.13131389,0.32387003,0.6060375
0.1313134,0.33620828,0.60605294
0.13131294,0.34856871,0.60606736
0.13131277,0.36101714,0.60607296
0.13131261,0.37346685,0.60607833
0.13131246,0.38591653,0.60608369
0.14385238,0.10595556,0.60576695
0.14385214,0.11786669,0.60577285
0.14385189,0.12977783,0.60577875
0.14385165,0.14168896,0.60578465
0.14385125,0.15364274,0.60579383
0.14385056,0.16565937,0.60580873
0.14384988,0.17767601,0.60582358
0.14384919,0.18969265,0.60583842
0.14384845,0.20174323,0.60585433
0.1438475,0.21386378,0.60587329
0.14384654,0.22598433,0.60589224
0.1438456,0.23810489,0.6059112
0.14384465,0.25025359,0.60593021
0.14384368,0.26248267,0.6059494
0.14384273,0.27471173,0.60596859
0.14384176,0.28694081,0.60598785
0.14384083,0.29919392,0.60600656
0.14384013,0.31153181,0.60602206
0.14383945,0.32387006,0.6060375
0.14383876,0.33620831,0.60605288
0.14383811,0.34856874,0.60606736
0.14383788,0.36101717,0.60607296
0.14383766,0.37346688,0.60607833
0.14383744,0.38591659,0.60608369
0.15638196,0.10595556,0.60576695
0.15638164,0.11786669,0.60577285
0.15638132,0.1297778,0.60577875
0.156381,0.14168893,0.60578465
0.15638046,0.1536427,0.60579389
0.15637955,0.16565934,0.60580873
0.15637866,0.17767596,0.60582358
0.15637775,0.1896926,0.60583848
0.15637675,0.20174317,0.60585439
0.1563755,0.21386373,0.60587335
0.15637423,0.22598429,0.6058923
0.15637298,0.23810484,0.6059112
0.15637171,0.25025353,0.60593021
0.15637043,0.26248261,0.6059494
0.15636916,0.2747117,0.60596859
0.1563679,0.28694078,0.60598779
0.15636666,0.29919392,0.60600656
0.15636574,0.31153181,0.606022
0.15636483,0.32387006,0.60603744
0.1563639,0.33620834,0.60605288
0.15636306,0.34856877,0.6060673
0.15636274,0.36101726,0.6060729
0.15636246,0.37346697,0.60607827
0.15636216,0.38591668,0.60608363
0.16891187,0.10595556,0.60576707
0.16891146,0.11786667,0.60577297
0.16891104,0.12977779,0.60577881
0.16891062,0.1416889,0.60578471
0.16890995,0.15364265,0.60579395
0.16890879,0.16565928,0.60580879
0.16890764,0.1776759,0.60582364
