"Points:0","Points:1","Points:2"
0.10637569,0.10546793,0.60218525
0.1063754,0.1164038,0.60223782
0.10637512,0.12733965,0.60229039
0.10637484,0.13827549,0.6023429
0.10637448,0.14927627,0.60240555
0.10637368,0.16050436,0.6025334
0.10637288,0.17173265,0.60266167
0.10637207,0.18296093,0.60278982
0.10637125,0.19422401,0.60291946
0.10637022,0.20566447,0.60307372
0.10636913,0.21713281,0.60323423
0.10636804,0.22860116,0.60339451
0.10636695,0.24009618,0.6035549
0.10636586,0.25177273,0.60371751
0.10636479,0.26352531,0.60388112
0.10636373,0.27527788,0.60404444
0.10636266,0.28705359,0.60420728
0.10636173,0.29899225,0.60435766
0.10636102,0.31102988,0.60448331
0.10636031,0.32306799,0.6046086
0.1063596,0.33512771,0.60473293
0.10635907,0.34734109,0.60482854
0.10635886,0.35968366,0.60487062
0.10635866,0.37203127,0.60491037
0.11912706,0.10546789,0.60218579
0.11912621,0.11640368,0.60223836
0.11912536,0.12733945,0.60229087
0.11912451,0.13827521,0.60234338
0.11912345,0.14927591,0.60240597
0.11912104,0.16050392,0.60253382
0.11911863,0.17173216,0.60266203
0.11911622,0.18296038,0.60279006
0.11911377,0.1942234,0.6029197
0.11911065,0.20566386,0.60307389
0.11910738,0.21713224,0.60323435
0.11910412,0.22860061,0.60339457
0.11910084,0.24009567,0.60355484
0.11909759,0.25177228,0.60371739
0.11909439,0.26352498,0.60388094
0.11909118,0.27527767,0.6040442
0.11908799,0.28705347,0.60420698
0.1190852,0.29899228,0.6043573
0.11908305,0.31103009,0.60448295
0.11908092,0.32306835,0.60460818
0.1190788,0.33512825,0.60473251
0.11907722,0.34734175,0.60482812
0.11907659,0.35968438,0.6048702
0.11907599,0.37203202,0.60490996
0.13187844,0.10546786,0.60218632
0.13187702,0.11640356,0.60223889
0.1318756,0.12733924,0.60229141
0.13187417,0.13827494,0.60234386
0.13187242,0.14927556,0.60240644
0.13186841,0.16050351,0.60253417
0.13186438,0.17173168,0.60266238
0.13186036,0.18295984,0.60279036
0.13185628,0.19422281,0.60291994
0.13185109,0.20566326,0.60307407
0.13184564,0.21713166,0.60323447
0.13184018,0.22860007,0.60339457
0.13183473,0.24009517,0.60355479
0.13182932,0.25177184,0.60371733
0.13182397,0.26352465,0.60388076
0.13181864,0.27527744,0.60404396
0.1318133,0.28705338,0.60420668
0.13180867,0.29899231,0.60435694
0.13180509,0.3110303,0.60448259
0.13180153,0.32306871,0.60460782
0.131798,0.33512878,0.6047321
0.13179538,0.34734243,0.60482764
0.13179432,0.35968509,0.60486972
0.13179332,0.37203276,0.60490954
0.14462982,0.10546781,0.60218686
0.14462782,0.11640344,0.60223937
0.14462584,0.12733905,0.60229188
0.14462386,0.13827465,0.60234433
0.14462139,0.1492752,0.60240686
0.14461578,0.16050309,0.60253459
0.14461015,0.17173119,0.60266274
0.14460452,0.18295929,0.60279065
0.14459878,0.1942222,0.60292017
0.14459153,0.20566265,0.60307425
0.1445839,0.21713109,0.60323459
0.14457627,0.22859953,0.60339463
0.14456862,0.24009465,0.60355479
0.14456104,0.25177139,0.60371721
0.14455356,0.26352432,0.60388058
0.14454609,0.27527723,0.60404372
0.14453863,0.28705326,0.60420638
0.14453213,0.29899234,0.60435659
0.14452712,0.31103048,0.60448217
0.14452215,0.32306907,0.6046074
0.1445172,0.33512929,0.60473162
0.14451352,0.34734312,0.60482723
0.14451204,0.35968581,0.60486931
0.14451064,0.37203351,0.60490906
0.15738381,0.10546773,0.60218799
0.15738118,0.11640319,0.60224044
0.15737854,0.12733863,0.6022929
0.1573759,0.13827409,0.60234535
0.15737262,0.14927445,0.60240781
0.15736517,0.16050221,0.60253543
0.15735769,0.17173019,0.6026634
0.15735021,0.18295816,0.60279125
0.1573426,0.19422095,0.60292065
0.15733296,0.20566142,0.60307461
0.15732284,0.21712992,0.60323477
0.15731271,0.22859842,0.60339469
0.15730256,0.24009362,0.60355467
0.15729249,0.25177053,0.60371697
0.15728256,0.26352367,0.60388017
0.15727264,0.27527681,0.60404319
0.15726273,0.28705311,0.60420567
0.1572541,0.29899246,0.60435575
0.15724745,0.31103098,0.60448134
0.15724084,0.32306993,0.60460651
0.15723427,0.33513051,0.60473073
0.15722939,0.34734464,0.60482627
0.15722743,0.35968745,0.60486835
0.15722558,0.37203521,0.60490811
0.17014006,0.10546762,0.6021896
0.17013669,0.11640283,0.60224199
0.17013334,0.12733805,0.60229439
0.17012997,0.13827325,0.60234678
0.1701258,0.1492734,0.60240918
0.17011631,0.16050097,0.60253662
0.17010677,0.17172876,0.60266441
0.17009725,0.18295655,0.60279208
0.17008755,0.19421916,0.60292131
0.17007527,0.20565964,0.60307509
0.17006235,0.21712825,0.60323501
0.17004944,0.22859685,0.60339469
0.17003651,0.24009214,0.60355449
0.17002368,0.25176927,0.60371655
0.17001103,0.26352277,0.60387957
0.16999838,0.27527627,0.60404235
0.16998577,0.2870529,0.60420465
0.16997476,0.29899269,0.60435456
0.1699663,0.31103173,0.60448009
0.16995786,0.32307121,0.6046052
0.16994949,0.33513233,0.60472929
0.16994327,0.3473469,0.60482484
0.16994077,0.35968983,0.60486692
0.16993842,0.37203774,0.60490674
0.1828963,0.1054675,0.60219115
0.18289222,0.11640248,0.60224354
0.18288814,0.12733746,0.60229588
0.18288405,0.13827243,0.60234815
0.18287897,0.14927232,0.6024105
0.18286744,0.16049972,0.60253775
0.18285586,0.17172733,0.60266542
0.18284428,0.18295494,0.60279298
0.18283248,0.19421737,0.60292202
0.18281756,0.20565787,0.60307556
0.18280187,0.21712656,0.60323524
0.1827862,0.22859527,0.60339475
0.18277048,0.24009067,0.60355431
0.18275487,0.25176799,0.60371619
0.1827395,0.26352185,0.60387897
0.18272413,0.27527571,0.60404158
0.1827088,0.28705272,0.60420364
0.18269542,0.2989929,0.60435337
0.18268514,0.31103247,0.60447884
0.18267488,0.32307246,0.60460383
0.18266471,0.33513412,0.60472792
0.18265715,0.3473492,0.60482341
0.18265411,0.35969225,0.60486549
0.18265125,0.37204024,0.60490537
0.19565254,0.10546738,0.60219276
0.19564773,0.11640213,0.60224503
0.19564293,0.12733687,0.60229731
0.19563812,0.1382716,0.60234958
0.19563214,0.14927126,0.60241187
0.19561857,0.16049847,0.60253894
0.19560494,0.17172591,0.60266644
0.19559132,0.18295333,0.60279381
0.19557743,0.19421558,0.60292268
0.19555987,0.2056561,0.60307598
0.1955414,0.21712489,0.60323554
0.19552293,0.22859371,0.60339481
0.19550444,0.24008921,0.60355413
0.19548607,0.25176674,0.60371578
0.19546798,0.26352096,0.60387838
0.19544987,0.27527517,0.60404074
0.19543183,0.28705251,0.60420263
0.19541609,0.29899311,0.60435218
0.19540398,0.31103322,0.60447752
0.19539191,0.32307374,0.60460252
0.19537993,0.33513594,0.60472655
0.19537103,0.34735146,0.60482192
0.19536746,0.35969466,0.60486406
0.19536409,0.37204275,0.60490394
0.20841518,0.10546722,0.60219491
0.20840944,0.11640165,0.60224712
0.20840369,0.12733607,0.60229927
0.20839795,0.1382705,0.60235143
0.20839083,0.14926983,0.60241359
0.20837463,0.16049682,0.60254043
0.20835836,0.17172402,0.60266775
0.20834209,0.18295121,0.60279483
0.20832552,0.19421323,0.60292351
0.20830457,0.20565379,0.60307652
0.20828255,0.21712275,0.60323572
0.20826054,0.22859171,0.60339463
0.20823847,0.24008736,0.60355371
0.20821656,0.25176522,0.60371506
0.20819497,0.26351991,0.60387737
0.20817339,0.27527463,0.60403937
0.20815188,0.28705248,0.60420096
0.2081331,0.29899371,0.60435027
0.20811865,0.31103456,0.60447556
0.20810425,0.32307589,0.60460043
0.20808996,0.33513886,0.60472441
0.20807935,0.3473551,0.60481977
0.20807506,0.35969847,0.60486192
0.20807105,0.37204674,0.60490185
0.22118247,0.10546704,0.60219741
0.22117564,0.1164011,0.6022495
0.22116882,0.12733515,0.6023016
0.22116201,0.1382692,0.60235363
0.22115353,0.14926817,0.60241568
0.22113429,0.16049488,0.60254222
0.22111495,0.17172182,0.60266924
0.22109562,0.18294875,0.60279602
0.22107594,0.19421051,0.60292441
0.22105105,0.20565112,0.60307705
0.2210249,0.21712026,0.60323584
0.22099875,0.2285894,0.60339439
0.22097254,0.24008524,0.60355306
0.22094652,0.25176349,0.60371405
0.22092088,0.26351881,0.60387599
0.22089523,0.27527413,0.60403764
0.22086968,0.28705257,0.60419887
0.22084734,0.29899454,0.60434783
0.22083016,0.31103638,0.60447305
0.22081304,0.32307866,0.60459787
0.22079605,0.33514261,0.60472167
0.22078341,0.34735972,0.60481697
0.22077832,0.35970336,0.60485923
0.22077353,0.37205184,0.60489917
0.23394974,0.10546685,0.60219991
0.23394184,0.11640054,0.60225189
0.23393394,0.12733422,0.60230386
0.23392604,0.1382679,0.60235584
0.23391622,0.1492665,0.60241771
0.23389393,0.16049294,0.60254401
0.23387153,0.17171961,0.60267067
0.23384915,0.18294629,0.60279721
0.23382635,0.19420779,0.6029253
0.23379754,0.20564845,0.60307759
0.23376724,0.21711777,0.60323602
0.23373696,0.22858711,0.60339415
0.23370661,0.24008314,0.60355246
0.23367648,0.25176173,0.60371304
0.23364677,0.26351768,0.60387462
0.23361707,0.27527359,0.60403591
0.23358746,0.28705266,0.60419679
0.23356158,0.29899538,0.60434544
0.23354167,0.3110382,0.60447055
0.23352182,0.32308143,0.60459524
0.23350212,0.33514634,0.60471898
0.23348747,0.34736434,0.60481423
0.23348157,0.35970822,0.60485649
0.23347601,0.3720569,0.60489655
0.24671702,0.10546666,0.60220242
0.24670804,0.11639999,0.60225427
0.24669906,0.1273333,0.60230613
0.24669008,0.13826661,0.60235798
0.24667892,0.14926483,0.60241979
0.24665359,0.16049099,0.6025458
0.24662812,0.17171742,0.60267216
0.24660267,0.18294384,0.6027984
0.24657677,0.19420506,0.60292619
0.24654402,0.20564578,0.60307813
0.2465096,0.2171153,0.60323614
0.24647518,0.22858481,0.60339391
0.24644069,0.24008103,0.60355186
