"Points:0","Points:1","Points:2"
0.10627425,0.10587969,0.60545897
0.1062742,0.11763905,0.60546857
0.10627414,0.12939842,0.60547811
0.10627408,0.14115779,0.60548764
0.10627399,0.1529664,0.60550213
0.10627383,0.16485578,0.60552633
0.10627367,0.17674515,0.60555059
0.10627351,0.18863453,0.60557479
0.10627334,0.20056039,0.60560036
0.10627311,0.21258372,0.60563135
0.10627289,0.22460705,0.60566229
0.10627267,0.2366304,0.60569328
0.10627244,0.24868169,0.60572428
0.10627221,0.2608363,0.60575569
0.10627199,0.27299199,0.60578716
0.10627177,0.28514767,0.60581857
0.10627154,0.29732728,0.60584956
0.10627138,0.30961731,0.60587531
0.10627122,0.32191211,0.60590076
0.10627106,0.33420691,0.60592616
0.10627091,0.34652379,0.60595053
0.10627085,0.3589524,0.60596097
0.1062708,0.37138814,0.60596985
0.10627075,0.38382384,0.60597879
0.11882276,0.10587968,0.60545903
0.11882259,0.11763904,0.60546857
0.11882242,0.12939841,0.60547817
0.11882225,0.14115776,0.6054877
0.11882197,0.15296637,0.60550213
0.11882149,0.16485573,0.60552639
0.11882101,0.1767451,0.60555059
0.11882053,0.18863449,0.60557485
0.11882001,0.20056033,0.60560036
0.11881934,0.21258368,0.60563135
0.11881867,0.22460701,0.60566235
0.11881799,0.23663034,0.60569328
0.11881732,0.24868165,0.60572428
0.11881664,0.26083627,0.60575569
0.11881597,0.27299196,0.60578716
0.1188153,0.28514767,0.60581857
0.11881463,0.29732725,0.60584956
0.11881414,0.30961734,0.60587531
0.11881366,0.32191214,0.6059007
0.11881319,0.33420694,0.6059261
0.11881272,0.34652385,0.60595053
0.11881255,0.35895246,0.60596091
0.1188124,0.37138823,0.60596985
0.11881225,0.38382396,0.60597873
0.13137127,0.10587968,0.60545909
0.13137099,0.11763903,0.60546863
0.13137069,0.12939838,0.60547817
0.13137041,0.14115773,0.60548776
0.13136996,0.15296634,0.60550219
0.13136916,0.1648557,0.60552645
0.13136835,0.17674507,0.60555065
0.13136755,0.18863443,0.60557485
0.13136669,0.20056029,0.60560042
0.13136557,0.21258362,0.60563135
0.13136445,0.22460696,0.60566235
0.13136332,0.23663029,0.60569328
0.1313622,0.24868159,0.60572428
0.13136108,0.26083624,0.60575569
0.13135995,0.27299193,0.6057871
0.13135882,0.28514764,0.60581857
0.13135771,0.29732725,0.6058495
0.13135689,0.30961734,0.60587525
0.13135611,0.32191217,0.60590065
0.1313553,0.334207,0.60592604
0.13135454,0.34652391,0.60595047
0.13135424,0.35895255,0.60596091
0.13135399,0.37138829,0.60596979
0.13135374,0.38382405,0.60597867
0.14391978,0.10587967,0.60545915
0.14391938,0.11763902,0.60546869
0.14391898,0.12939836,0.60547823
0.14391857,0.1411577,0.60548776
0.14391793,0.15296631,0.60550225
0.14391682,0.16485566,0.60552645
0.1439157,0.17674503,0.60555065
0.14391457,0.18863438,0.60557491
0.14391336,0.20056023,0.60560042
0.14391179,0.21258357,0.60563141
0.14391023,0.2246069,0.60566235
0.14390865,0.23663025,0.60569328
0.14390709,0.24868155,0.60572428
0.14390551,0.26083618,0.60575569
0.14390393,0.2729919,0.6057871
0.14390236,0.28514761,0.60581851
0.14390081,0.29732725,0.6058495
0.14389966,0.30961734,0.60587525
0.14389855,0.3219122,0.60590065
0.14389743,0.33420703,0.60592598
0.14389636,0.34652397,0.60595042
0.14389594,0.35895261,0.60596085
0.1438956,0.37138838,0.60596973
0.14389524,0.38382414,0.60597861
0.15646881,0.10587966,0.60545921
0.15646827,0.11763899,0.60546875
0.15646775,0.12939832,0.60547835
0.15646721,0.14115766,0.60548788
0.15646636,0.15296623,0.60550231
0.15646487,0.16485558,0.60552651
0.1564634,0.17674494,0.60555071
0.15646191,0.18863429,0.60557497
0.1564603,0.20056012,0.60560048
0.15645823,0.21258347,0.60563141
0.15645614,0.2246068,0.60566235
0.15645407,0.23663014,0.60569328
0.15645199,0.24868146,0.60572428
0.1564499,0.26083612,0.60575569
0.15644781,0.27299187,0.6057871
0.15644573,0.28514758,0.60581845
0.15644367,0.29732722,0.60584944
0.15644215,0.30961737,0.60587519
0.15644068,0.32191223,0.60590053
0.1564392,0.33420712,0.60592592
0.15643778,0.34652409,0.6059503
0.15643722,0.35895276,0.60596073
0.15643676,0.37138855,0.60596961
0.15643629,0.38382435,0.60597849
0.16901833,0.10587966,0.60545933
0.16901766,0.11763896,0.60546887
0.16901699,0.12939827,0.60547847
0.1690163,0.14115757,0.605488
0.16901523,0.15296614,0.60550243
0.16901334,0.16485548,0.60552663
0.16901144,0.17674482,0.60555083
0.16900955,0.18863414,0.60557503
0.16900751,0.20055997,0.60560054
0.16900486,0.21258332,0.60563147
0.16900221,0.22460666,0.60566235
0.16899957,0.23662999,0.60569328
0.16899692,0.24868132,0.60572422
0.16899425,0.26083601,0.60575563
0.1689916,0.27299178,0.60578704
0.16898893,0.28514752,0.60581839
0.16898632,0.29732719,0.60584933
0.16898438,0.3096174,0.60587507
0.16898251,0.32191232,0.60590041
0.16898063,0.33420724,0.60592574
0.16897881,0.34652427,0.60595018
0.16897811,0.358953,0.60596055
0.16897751,0.37138885,0.60596943
0.16897692,0.38382468,0.60597831
0.18156786,0.10587964,0.60545945
0.18156704,0.11763893,0.60546905
0.18156622,0.12939821,0.60547858
0.1815654,0.14115749,0.60548812
0.18156409,0.15296604,0.60550255
0.18156178,0.16485536,0.60552669
0.18155949,0.17674468,0.60555089
0.18155718,0.18863401,0.60557508
0.1815547,0.20055982,0.6056006
0.18155149,0.21258317,0.60563147
0.18154827,0.22460651,0.60566241
0.18154506,0.23662986,0.60569328
0.18154183,0.24868117,0.60572422
0.1815386,0.26083592,0.60575557
0.18153538,0.27299169,0.60578698
0.18153214,0.28514749,0.60581833
0.18152897,0.29732719,0.60584927
0.18152663,0.30961743,0.60587496
0.18152434,0.32191241,0.60590029
0.18152204,0.33420739,0.60592562
0.18151985,0.34652445,0.60595
0.18151899,0.35895324,0.60596037
0.18151827,0.37138912,0.60596925
0.18151756,0.383825,0.60597813
0.19411738,0.10587963,0.60545963
0.19411643,0.11763889,0.60546917
0.19411546,0.12939815,0.6054787
0.19411449,0.14115742,0.60548824
0.19411296,0.15296595,0.60550261
0.19411024,0.16485526,0.6055268
0.19410753,0.17674457,0.605551
0.19410482,0.18863387,0.60557514
0.1941019,0.20055968,0.60560066
0.19409811,0.21258302,0.60563153
0.19409434,0.22460636,0.60566241
0.19409056,0.23662971,0.60569328
0.19408676,0.24868104,0.60572422
0.19408296,0.2608358,0.60575557
0.19407916,0.2729916,0.60578692
0.19407536,0.28514743,0.60581827
0.19407162,0.29732716,0.60584915
0.19406886,0.30961746,0.60587484
0.19406617,0.3219125,0.60590017
0.19406347,0.33420753,0.6059255
0.19406088,0.34652466,0.60594982
0.19405986,0.35895348,0.60596025
0.19405903,0.37138939,0.60596907
0.19405818,0.38382533,0.60597795
0.20666809,0.10587962,0.60545981
0.20666695,0.11763886,0.60546929
0.2066658,0.12939809,0.60547882
0.20666465,0.14115733,0.60548836
0.20666282,0.15296583,0.60550278
0.2066596,0.16485511,0.60552692
0.20665638,0.1767444,0.60555106
0.20665318,0.1886337,0.6055752
0.20664971,0.20055948,0.60560071
0.20664522,0.21258284,0.60563153
0.20664072,0.22460619,0.60566241
0.20663624,0.23662955,0.60569328
0.20663172,0.24868087,0.60572416
0.20662721,0.26083565,0.60575551
0.2066227,0.27299151,0.6057868
0.20661819,0.28514737,0.60581815
0.20661376,0.29732716,0.60584903
0.20661047,0.30961752,0.60587466
0.20660727,0.32191262,0.60589999
0.20660406,0.33420774,0.60592526
0.20660099,0.34652492,0.60594964
