"Points:0","Points:1","Points:2"
0.10630805,0.10569745,0.60437918
0.10630792,0.11709236,0.60440207
0.10630778,0.12848726,0.60442495
0.10630765,0.13988218,0.60444784
0.10630745,0.15133975,0.60447925
0.10630708,0.16294496,0.60453695
0.10630671,0.17455016,0.60459465
0.10630633,0.18615536,0.60465229
0.10630594,0.19779655,0.60471135
0.10630543,0.20957802,0.60478371
0.10630491,0.22136244,0.60485679
0.10630439,0.23314686,0.60492975
0.10630387,0.24495868,0.60500282
0.10630336,0.25692365,0.60507667
0.10630285,0.26890886,0.60515052
0.10630234,0.2808941,0.60522431
0.10630184,0.29290289,0.60529768
0.10630145,0.30506253,0.60536116
0.1063011,0.31725469,0.60542053
0.10630075,0.32944682,0.6054799
0.10630041,0.34166089,0.60553831
0.10630023,0.35402095,0.60557157
0.10630012,0.36642042,0.60559225
0.10630002,0.37881985,0.60561287
0.11892416,0.10569744,0.60437936
0.11892375,0.11709232,0.60440224
0.11892335,0.1284872,0.60442513
0.11892295,0.13988209,0.60444802
0.11892238,0.15133965,0.60447943
0.11892124,0.16294482,0.60453707
0.11892012,0.17455001,0.60459477
0.11891899,0.1861552,0.60465235
0.11891782,0.19779636,0.60471141
0.11891629,0.20957783,0.60478377
0.11891472,0.22136226,0.60485679
0.11891317,0.23314668,0.60492975
0.1189116,0.24495853,0.60500282
0.11891007,0.25692353,0.60507667
0.11890855,0.26890877,0.60515046
0.11890703,0.28089404,0.60522425
0.11890551,0.29290289,0.60529757
0.11890434,0.30506256,0.60536104
0.11890329,0.31725478,0.60542041
0.11890225,0.32944697,0.60547978
0.11890122,0.3416611,0.60553819
0.11890069,0.35402119,0.60557145
0.11890037,0.36642066,0.60559207
0.11890006,0.37882012,0.6056127
0.13154025,0.10569743,0.60437948
0.13153958,0.11709228,0.60440236
0.13153891,0.12848714,0.60442525
0.13153826,0.139882,0.60444814
0.13153729,0.15133953,0.60447955
0.13153541,0.1629447,0.60453719
0.13153353,0.17454986,0.60459483
0.13153166,0.18615502,0.60465246
0.1315297,0.19779618,0.60471147
0.13152714,0.20957765,0.60478383
0.13152455,0.22136208,0.60485679
0.13152194,0.23314652,0.60492975
0.13151933,0.24495837,0.60500276
0.13151678,0.25692338,0.60507661
0.13151424,0.26890868,0.6051504
0.1315117,0.28089398,0.60522413
0.13150918,0.29290286,0.60529751
0.13150723,0.30506259,0.60536093
0.13150549,0.31725484,0.60542029
0.13150375,0.32944712,0.6054796
0.13150205,0.34166127,0.60553801
0.13150114,0.35402143,0.60557127
0.13150062,0.36642092,0.60559189
0.1315001,0.37882042,0.60561252
0.14415635,0.10569742,0.60437965
0.14415543,0.11709224,0.60440254
0.14415449,0.12848708,0.60442543
0.14415355,0.13988191,0.60444826
0.14415221,0.15133943,0.60447967
0.14414957,0.16294457,0.60453731
